date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-01-08,Сенатор США призвал соцсети сберечь улики для расследования беспорядков в Капитолии,1,0,trend,up,world,0,83,7,сенатор призвать соцсеть сберечь улика расследование беспорядок,SBER
2021-01-20,Сбербанк начал использовать биометрию для подтверждения ряда операций,-1,0,trend,down,russia,0,69,6,начать использовать биометрия подтверждение ряд операция,SBER
2021-01-20,Сбербанк начал использовать биометрию для подтверждения ряда операций,-1,0,trend,down,russia,0,69,6,начать использовать биометрия подтверждение ряд операция,SBER
2021-01-25,Лев Шлосберг оштрафован за предложение митинговать 23 января в гайд-парке,0,0,trend,neutral,russia,0,73,6,оштрафовать предложение митинговать 23 январь гайд-парк,SBER
2021-01-25,Лев Шлосберг оштрафован за предложение митинговать 23 января в гайд-парке,0,0,trend,neutral,russia,0,73,6,оштрафовать предложение митинговать 23 январь гайд-парк,SBER
2021-01-25,Лев Шлосберг оштрафован за предложение митинговать 23 января в гайд-парке,0,0,trend,neutral,russia,0,73,6,оштрафовать предложение митинговать 23 январь гайд-парк,SBER
2021-01-27,Сбербанк попытается создать конкурента Wildberries и Ozon на базе goods.ru. Обзор,-1,0,trend,down,business,0,81,5,попытаться создать конкурент база обзор,SBER
2021-01-27,Сбербанк попытается создать конкурента Wildberries и Ozon на базе goods.ru. Обзор,-1,0,trend,down,business,0,81,5,попытаться создать конкурент база обзор,SBER
2021-02-01,ЦБ перечислит в бюджет 200 млрд рублей от продажи Сбербанка до 1 апреля,0,0,trend,neutral,russia,0,71,7,перечислить бюджет млрд рубль продажа 1 апрель,SBER
2021-02-01,ЦБ перечислит в бюджет 200 млрд рублей от продажи Сбербанка до 1 апреля,0,0,trend,neutral,russia,0,71,7,перечислить бюджет млрд рубль продажа 1 апрель,SBER
2021-02-01,ЦБ перечислит в бюджет 200 млрд рублей от продажи Сбербанка до 1 апреля,0,0,trend,neutral,russia,0,71,7,перечислить бюджет млрд рубль продажа 1 апрель,SBER
2021-02-08,Глава пресс-службы Сбербанка Иванова решила сменить работу,-1,0,trend,down,russia,0,58,5,глава пресс-служба решить сменить работа,SBER
